Продукт,Калорийность
Lamb__Australian__imported__fresh__external_fat__cooked,538 кКал
Антилопа,114 кКал
Антилопа__запеченная,150 кКал
Баранина_1_кат.,209 кКал
Баранина_2_кат.,166 кКал
Баранина_австралийская__голяшка__мясо_и_жир__обрезь_до_1/8___жира__жаренная,231 кКал
Баранина_австралийская__голяшка__мясо_и_жир__обрезь_до_1/8___жира__сырая,201 кКал
Баранина_австралийская__голяшка__только_мясо__обрезь_до_1/8___жира__жаренная,182 кКал
Баранина_австралийская__голяшка__только_мясо__обрезь_до_1/8___жира__сырая,133 кКал
Баранина_австралийская__Мясной_набор__мясо_и_жир__обрезь_до_1/8___жира__вареная,256 кКал
Баранина_австралийская__мясной_набор__мясо_и_жир__обрезь_до_1/8___жира__сырая,229 кКал
Баранина_австралийская__Мясной_набор__только_мясо__обрезь_до_1/8___жира__вареная,201 кКал
Баранина_австралийская__Мясной_набор__только_мясо__обрезь_до_1/8___жира__сырая,142 кКал
Баранина_австралийская__нога_передняя_с_лопаткой__мясо_и_жир__обрезь_до_1/8___жира__вареная,296 кКал
Баранина_австралийская__нога_передняя_с_лопаткой__только_мясо__обрезь_до_1/8___жира__вареная,233 кКал
Баранина_австралийская__Нога_передняя__с_лопаткой__мясо_и_жир__обрезь_до_1/8___жира__сырая,256 кКал
Баранина_австралийская__нога_целая___только_мясо__обрезь_до_1/8___жира__жаренная,190 кКал
Баранина_австралийская__нога_целая__мясо_и_жир__обрезь_до_1/8___жира__сырая,215 кКал
Баранина_австралийская__нога__целая__мясо_и_жир__обрезь_до_1/8___жира__жаренная,244 кКал
Баранина_австралийская__нога__целая__только_мясо__обрезь_до_1/8___жира__сырая,135 кКал
Баранина_австралийская__нога__центральная_часть_на_кости__мясо_и_жир__обрезь_до_1/8___жира__жаренная_на_открытом_огне,215 кКал
Баранина_австралийская__нога__центральная_часть_на_кости__мясо_и_жир__обрезь_до_1/8___жира__сырая,195 кКал
Баранина_австралийская__нога__центральная_часть_на_кости__только_мясо__обрезь_до_1/8___жира__жаренная_на_открытом_огне,183 кКал
Баранина_австралийская__нога__центральная_часть_на_кости__только_мясо__обрезь_до_1/8___жира__сырая,143 кКал
Баранина_австралийская__ребра__мясо_и_жир__обрезь_до_1/8___жира__жаренная,277 кКал
Баранина_австралийская__ребра__мясо_и_жир__обрезь_до_1/8___жира__сырая,237 кКал
Баранина_австралийская__ребра__только_мясо__обрезь_до_1/8___жира__жаренная,210 кКал
Баранина_австралийская__ребра__только_мясо__обрезь_до_1/8___жира__сырая,147 кКал
"Баранина_австралийская__рулька__мясо_и_жир__обрезь_до_1/8""_жира__сырая",195 кКал
"Баранина_австралийская__рулька__мясо_и_жир__обрезь_до_1/8""_жира__тушеная",236 кКал
"Баранина_австралийская__рулька__только_мясо__обрезь_до_1/8""_жира__сырая",123 кКал
"Баранина_австралийская__рулька__только_мясо__обрезь_до_1/8""_жира__тушеная",165 кКал
Баранина_австралийская__филейная_часть__мясо_и_жир__обрезь_до_1/8___жира__жаренная_на_открытом_огне,219 кКал
Баранина_австралийская__филейная_часть__мясо_и_жир__обрезь_до_1/8___жира__сырая,203 кКал
Баранина_австралийская__филейная_часть__только_мясо__обрезь_до_1/8___жира__жаренная_на_открытом_огне,192 кКал
Баранина_австралийская__филейная_часть__только_мясо__обрезь_до_1/8___жира__сырая,146 кКал
Баранина_жареная__по_1_396,264 кКал
Баранина_отварная__по_1_392,244 кКал
Баранина_тушеная__консервы,191 кКал
Баранина_тушеная__по_1_422,170 кКал
Баранина__голяшка,201 кКал
Баранина__голяшка__запеченная,225 кКал
Баранина__голяшка__только_мясо,125 кКал
Баранина__голяшка__только_мясо__запеченная,180 кКал
Баранина__грудинка_мякоть,288 кКал
Баранина__корейка,310 кКал
Баранина__корейка_мякоть,255 кКал
Баранина__корейка__жаренная_на_открытом_огне,316 кКал
Баранина__корейка__запеченная,309 кКал
Баранина__корейка__мясо_и_жир__обрезь_до_1/8___жира__отборная__жареная,290 кКал
Баранина__корейка__мясо_и_жир__обрезь_до_1/8___жира__отборная__жареная_на_открытом_огне,297 кКал
Баранина__корейка__мясо_и_жир__обрезь_до_1/8___жира__отборная__сырая,279 кКал
Баранина__корейка__только_мясо,143 кКал
Баранина__корейка__только_мясо__жаренная_на_открытом_огне,216 кКал
Баранина__корейка__только_мясо__запеченная,202 кКал
Баранина__котлетное_мясо,238 кКал
Баранина__лопаточная_часть,199 кКал
Баранина__нога_целая_(с_голяшкой_и_оковалком),230 кКал
Баранина__нога_целая_(с_голяшкой_и_оковалком)__запеченная,258 кКал
Баранина__нога_целая_(с_голяшкой_и_оковалком)__только_мясо,128 кКал
Баранина__нога_целая_(с_голяшкой_и_оковалком)__только_мясо__запеченная,191 кКал
Баранина__пашина,205 кКал
Баранина__плечевая_и_лопаточная_части,264 кКал
Баранина__плечевая_и_лопаточная_части__жаренная_на_открытом_огне,278 кКал
Баранина__плечевая_и_лопаточная_части__жаренная_на_открытом_огне,210 кКал
Баранина__плечевая_и_лопаточная_части__запеченная,276 кКал
Баранина__плечевая_и_лопаточная_части__только_мясо,144 кКал
Баранина__плечевая_и_лопаточная_части__только_мясо__запеченная,204 кКал
Баранина__плечевая_и_лопаточная_части__только_мясо__тушеная,283 кКал
Баранина__плечевая_и_лопаточная_части__тушеная,344 кКал
Баранина__ребра,372 кКал
Баранина__ребра__жаренные_на_открытом_огне,361 кКал
Баранина__ребра__запеченные,359 кКал
Баранина__ребра__только_мясо,169 кКал
Баранина__ребра__только_мясо__жаренные_на_открытом_огне,235 кКал
Баранина__ребра__только_мясо__запеченные,232 кКал
Баранина__рулька,201 кКал
Баранина__рулька_тушеная,243 кКал
Баранина__рулька__только_мясо,120 кКал
Баранина__рулька__только_мясо__тушеная,187 кКал
Баранина__спинная_часть,254 кКал
Баранина__тазобедренная_и_лопаточная_части__только_мясо__нарезанное_кубиками,134 кКал
Баранина__тазобедренная_и_лопаточная_части__только_мясо__нарезанное_кубиками__жаренная_на_открытом_огне,186 кКал
Баранина__тазобедренная_и_лопаточная_части__только_мясо__нарезанное_кубиками__тушеная,223 кКал
Баранина__тазобедренная_часть,198 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__жаренная_на_открытом_огне,315 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__жаренная_на_открытом_огне,296 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__обрезь_до_1/8___жира__сырая,273 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__мясо_и_жир__сырая,298 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__только_мясо__жаренная_на_открытом_огне,199 кКал
Баранина__филейная_часть__Новая_зеландия__замороженная__только_мясо__сырая,142 кКал
Баранина__шейная_часть,208 кКал
Белка,120 кКал
Белка__запеченная,173 кКал
Бизон__мякоть_плечевой_части__только_мясо,119 кКал
Бизон__мякоть_плечевой_части__только_мясо,109 кКал
Бизон__мякоть_плечевой_части__только_мясо__тушеная,193 кКал
Бизон__стейк_из_верхней_части_бедра__только_мясо,122 кКал
Бизон__стейк_из_верхней_части_бедра__только_мясо__жаренный_на_открытом_огне,174 кКал
Бизон__стейк_из_верхней_части_оковалка__только_мясо__жаренный_на_открытом_огне,171 кКал
Бизон__стейк_из_рибая_(реберная_сердцевина__глазок)__только_мясо,116 кКал
Бизон__стейк_из_рибая_(реберная_сердцевина__глазок)__только_мясо__жареный_на_открытом_огне,177 кКал
Бизон__только_мясо,109 кКал
Бизон__только_мясо__запеченное,143 кКал
Бобер,146 кКал
Бобер__запеченный,212 кКал
Буйвол__стейк_из_верхней_части_бедра_(Шошони_Баннок),97 кКал
Буйвол__стейк_из_верхней_части_бедра_приготовленный_(Шошони_Баннок),146 кКал
Буйволятина__1_категории,195 кКал
Буйволятина__2_категории,135 кКал
Буффало__гибрид_бизона_и_коровы__мясной_набор,143 кКал
Буффало__гибрид_бизона_и_коровы__мясной_набор__запеченный,188 кКал
Верблюжатина_1_категории,160 кКал
Водяной_буйвол,99 кКал
Водяной_буйвол__запеченный,131 кКал
Глаза_оленя_карибу_(Аляска),326 кКал
Голяшка__баранина__мясо_и_жир__обрезь_до_1/8___жира__жаренная,217 кКал
Голяшка__баранина__мясо_и_жир__обрезь_до_1/8___жира__сырая,185 кКал
Гуляш_бараний__консервы,213 кКал
Енот__запеченный,255 кКал
Жир_бараний_приготовленный__Австралия,639 кКал
Жир_бараний_сырой__Австралия,648 кКал
Завтрак_туриста_(баранина)__консервы,210 кКал
Кабан,122 кКал
Кабан__запеченный,160 кКал
Карибу_(канадский_олень),127 кКал
Карибу_(канадский_олень)__запеченный,167 кКал
Карибу__костный_мозг_(Аляска),786 кКал
Карибу__мясо_задней_четвертины__приготовленное_(Аляска),159 кКал
Карибу__огузок_(кострец)__наполовину_высушенный_(Аляска),255 кКал
Карибу__окорок_(Аляска),122 кКал
Козлятина,109 кКал
Козлятина__запеченная,143 кКал
Конина,133 кКал
Конина_1_кат.,167 кКал
Конина_2_кат.,121 кКал
Конина_тушеная__консервы,150 кКал
Конина__запеченная,175 кКал
